$Folder,$ROI,$Threshold,
2010_013_L,224,131,
2010_013_M,111,131,
2010_013_M,112,131,
2010_013_M,113,131,
2010_013_M,114,131,
2010_013_M,121,131,
2010_013_M,122,131,
2010_013_M,123,131,
2010_013_M,124,131,
2010_013_M,211,131,
2010_013_M,212,131,
2010_013_M,213,131,
2010_013_M,214,131,
2010_013_M,221,131,
2010_013_M,222,131,
2010_013_M,223,131,
2010_013_M,224,131,
2010_013_M,111,131,
2010_013_M,112,131,
2010_013_M,113,131,
2010_013_M,114,131,
2010_013_M,121,131,
2010_013_M,122,131,
2010_013_M,123,131,
2010_013_M,124,131,
2010_013_M,211,131,
2010_013_M,212,131,
2010_013_M,213,131,
2010_013_M,214,131,
2010_013_M,221,131,
2010_013_M,222,131,
2010_013_M,223,131,
2010_013_M,224,131,
2011_024_L,111,131,
2011_024_L,112,131,
2011_024_L,113,131,
2011_024_L,114,131,
2011_024_L,121,131,
2011_024_L,122,131,
2011_024_L,123,131,
2011_024_L,124,131,
2011_024_L,211,131,
2011_024_L,212,131,
2011_024_L,213,131,
2011_024_L,214,131,
2011_024_L,221,131,
2011_024_L,222,131,
2011_024_L,223,131,
2011_024_L,224,131,
2011_024_M,111,131,
2011_024_M,112,131,
2011_024_M,113,131,
2011_024_M,114,131,
2011_024_M,121,131,
2011_024_M,122,131,
2011_024_M,123,131,
2011_024_M,124,131,
2011_024_M,211,131,
2011_024_M,212,131,
2011_024_M,213,131,
2011_024_M,214,131,
2011_024_M,221,131,
2011_024_M,222,131,
2011_024_M,223,131,
2011_024_M,224,131,
2010_056_L,111,131,
2010_056_L,112,131,
2010_056_L,113,131,
2010_056_L,114,131,
2010_056_L,121,131,
2010_056_L,122,131,
2010_056_L,123,131,
2010_056_L,124,131,
2010_056_L,211,131,
2010_056_L,212,131,
2010_056_L,213,131,
2010_056_L,214,131,
2010_056_L,221,131,
2010_056_L,222,131,
2010_056_L,223,131,
2010_056_L,224,131,
2010_056_M,111,131,
2010_056_M,112,131,
2010_056_M,113,131,
2010_056_M,114,131,
2010_056_M,121,131,
2010_056_M,122,131,
2010_056_M,123,131,
2010_056_M,124,131,
2010_056_M,211,131,
2010_056_M,212,131,
2010_056_M,213,131,
2010_056_M,214,131,
2010_056_M,221,131,
2010_056_M,222,131,
2010_056_M,223,131,
