BV/TV,Degree of Anisotropy,ROI Number,Scan,Variation Coefficient
0.2152,1.915,1,C0001406_SEG_UNCOMP,0.21088264366362552
0.1363,1.678,2,C0001406_SEG_UNCOMP,0.1853910455683938
0.1801,1.531,3,C0001406_SEG_UNCOMP,0.18845118921221146
0.1989,1.644,4,C0001406_SEG_UNCOMP,0.21424491867608175
0.1927,1.705,5,C0001406_SEG_UNCOMP,0.221315128847254
0.1446,1.747,6,C0001406_SEG_UNCOMP,0.2551178793926466
0.4102,1.553,1,C0001415_SEG_UNCOMP,0.24604060203254047
0.448,1.679,2,C0001415_SEG_UNCOMP,0.25587604784799695
0.4141,1.399,3,C0001415_SEG_UNCOMP,0.13254531353211607
0.3452,1.753,4,C0001415_SEG_UNCOMP,0.11723847267236899
0.3135,1.919,5,C0001415_SEG_UNCOMP,0.22366475327117338
0.448,1.793,6,C0001415_SEG_UNCOMP,0.1667276194526104
0.1624,1.932,1,C0001421_SEG_UNCOMP,0.2974052527623887
0.2442,1.942,2,C0001421_SEG_UNCOMP,0.13224664985857773
0.3336,2.359,3,C0001421_SEG_UNCOMP,0.09562707285033274
0.302,2.181,4,C0001421_SEG_UNCOMP,0.13793321658415394
0.1864,2.09,5,C0001421_SEG_UNCOMP,0.26462657300663817
0.3309,2.192,6,C0001421_SEG_UNCOMP,0.1833497438365701
0.2885,1.514,1,C0001427_SEG_UNCOMP,0.14302196884741042
0.4205,1.608,2,C0001427_SEG_UNCOMP,0.2643942027063155
0.2921,1.493,3,C0001427_SEG_UNCOMP,0.2734467833242212
0.4001,1.968,4,C0001427_SEG_UNCOMP,0.09059905770535495
0.412,1.986,5,C0001427_SEG_UNCOMP,0.10125521682471274
0.2555,1.865,6,C0001427_SEG_UNCOMP,0.07544975104942112
0.3344,1.592,1,C0001433_SEG_UNCOMP,0.170418204494747
0.3327,1.54,2,C0001433_SEG_UNCOMP,0.35049924536593785
0.318,1.467,3,C0001433_SEG_UNCOMP,0.31498488188473933
0.2596,1.941,4,C0001433_SEG_UNCOMP,0.1290197295915209
0.2667,1.965,5,C0001433_SEG_UNCOMP,0.09816779126738831
0.3512,1.937,6,C0001433_SEG_UNCOMP,0.1352275900635042
0.289,1.675,1,C0001439_SEG_UNCOMP,0.20688395157082318
0.1694,1.817,2,C0001439_SEG_UNCOMP,0.17321552994959494
0.2656,1.873,3,C0001439_SEG_UNCOMP,0.15282927570575833
0.278,2.163,4,C0001439_SEG_UNCOMP,0.15112118281080883
0.3445,2.081,5,C0001439_SEG_UNCOMP,0.07164552705017473
0.2322,2.147,6,C0001439_SEG_UNCOMP,0.057821762842840116
0.2657,1.782,1,C0001511_SEG_UNCOMP,0.13256901755687572
0.2983,2.083,2,C0001511_SEG_UNCOMP,0.0844723955523423
0.2737,1.947,3,C0001511_SEG_UNCOMP,0.09173365198801035
0.2175,1.798,4,C0001511_SEG_UNCOMP,0.11582679497855966
0.3922,1.852,5,C0001511_SEG_UNCOMP,0.1254965769315982
0.2351,1.674,6,C0001511_SEG_UNCOMP,0.16193161190308208
0.2218,1.841,1,C0001523_SEG_UNCOMP,0.11780425633985141
0.3247,1.657,2,C0001523_SEG_UNCOMP,0.06801148172105782
0.2586,1.661,3,C0001523_SEG_UNCOMP,0.08415830500587625
0.2269,1.857,4,C0001523_SEG_UNCOMP,0.14100649746266736
0.1679,1.787,5,C0001523_SEG_UNCOMP,0.18350722461637076
0.2849,1.693,6,C0001523_SEG_UNCOMP,0.09991124460612773
0.1918,1.923,1,C0001534_SEG_UNCOMP,0.18552121924867387
0.14,1.973,2,C0001534_SEG_UNCOMP,0.4018529965692317
0.1739,1.728,3,C0001534_SEG_UNCOMP,0.26583838321620445
0.3438,2.045,4,C0001534_SEG_UNCOMP,0.1918183289433155
0.1578,1.878,5,C0001534_SEG_UNCOMP,0.18271100580253852
0.2915,2.095,6,C0001534_SEG_UNCOMP,0.2498262504857449
0.1776,2.095,1,C0001546_SEG_UNCOMP,0.26295102884453747
0.1861,1.938,2,C0001546_SEG_UNCOMP,0.282564260360012
0.0921,1.75,3,C0001546_SEG_UNCOMP,0.40351570022307365
0.0765,1.929,4,C0001546_SEG_UNCOMP,0.6237009048377532
0.0616,1.706,5,C0001546_SEG_UNCOMP,0.3585995123054245
0.0469,1.839,6,C0001546_SEG_UNCOMP,0.7497576508806956
0.1127,1.924,1,C0001552_SEG_UNCOMP,0.35353393122092003
0.2584,2.014,2,C0001552_SEG_UNCOMP,0.26252424088938675
0.0783,1.801,3,C0001552_SEG_UNCOMP,0.4634889884601389
0.2214,1.901,4,C0001552_SEG_UNCOMP,0.24155414078055804
0.0936,1.793,5,C0001552_SEG_UNCOMP,0.26491316010997684
0.2202,1.913,6,C0001552_SEG_UNCOMP,0.29603843706148764
0.1756,2.012,1,C0001560_SEG_UNCOMP,0.10632094641073866
0.1627,2.058,2,C0001560_SEG_UNCOMP,0.19309826422487483
0.1428,2.063,3,C0001560_SEG_UNCOMP,0.2640415758082632
0.2151,1.851,4,C0001560_SEG_UNCOMP,0.15171403893822777
0.3109,2.051,5,C0001560_SEG_UNCOMP,0.24186103749991703
0.2694,2.062,6,C0001560_SEG_UNCOMP,0.17936147985745302
0.1717,1.974,1,C0001566_SEG_UNCOMP,0.1332988144086913
0.1549,1.978,2,C0001566_SEG_UNCOMP,0.20532669193989914
0.0659,1.702,3,C0001566_SEG_UNCOMP,0.239971752971608
0.2544,2.452,4,C0001566_SEG_UNCOMP,0.12394887943354412
0.2036,2.068,5,C0001566_SEG_UNCOMP,0.1308513236303952
0.0868,2.058,6,C0001566_SEG_UNCOMP,0.6237074182950587
0.2077,2.014,1,C0001572_SEG_UNCOMP,0.2073134785367757
0.1192,1.885,2,C0001572_SEG_UNCOMP,0.13852926148038386
0.1769,1.992,3,C0001572_SEG_UNCOMP,0.2030352002301119
0.1538,1.95,4,C0001572_SEG_UNCOMP,0.25379689815581913
0.1755,2.083,5,C0001572_SEG_UNCOMP,0.2355658908983472
0.2288,2.106,6,C0001572_SEG_UNCOMP,0.3284119641521247
0.2818,1.762,1,C0001585_SEG_UNCOMP,0.16203470670554135
0.1937,2.18,2,C0001585_SEG_UNCOMP,0.14901693994890175
0.2421,2.051,3,C0001585_SEG_UNCOMP,0.11660529446201288
0.1293,2.076,4,C0001585_SEG_UNCOMP,0.17966852178418585
0.2672,1.84,5,C0001585_SEG_UNCOMP,0.23303998856101593
0.2062,2.172,6,C0001585_SEG_UNCOMP,0.15535231801325922
0.2005,1.912,1,C0001592_SEG_UNCOMP,0.16990285934286392
0.2264,2.025,2,C0001592_SEG_UNCOMP,0.16947400713968336
0.2056,1.991,3,C0001592_SEG_UNCOMP,0.23595353640796793
0.3105,2.241,4,C0001592_SEG_UNCOMP,0.125742784608955
0.2328,2.142,5,C0001592_SEG_UNCOMP,0.33807889234306177
0.2656,2.118,6,C0001592_SEG_UNCOMP,0.28995379460048376
0.1568,1.613,1,C0001600_SEG_UNCOMP,0.4570610679802365
0.1711,1.841,2,C0001600_SEG_UNCOMP,0.19813043775576478
0.2848,1.779,3,C0001600_SEG_UNCOMP,0.2274624719101476
0.2366,2.053,4,C0001600_SEG_UNCOMP,0.09504533562924607
0.2078,2.068,5,C0001600_SEG_UNCOMP,0.14007081439129704
0.1254,1.826,6,C0001600_SEG_UNCOMP,0.14755990836188015
0.1874,1.507,1,C0001608_SEG_UNCOMP,0.24975731715249438
0.285,1.621,2,C0001608_SEG_UNCOMP,0.33346591604700393
0.4099,1.409,3,C0001608_SEG_UNCOMP,0.37733463619720026
0.2707,1.996,4,C0001608_SEG_UNCOMP,0.0921205622486288
0.3162,1.949,5,C0001608_SEG_UNCOMP,0.08412803324372926
0.3122,1.833,6,C0001608_SEG_UNCOMP,0.10262112481694423
0.3921,1.615,1,C0001616_SEG_UNCOMP,0.1795274187710369
0.4322,1.921,2,C0001616_SEG_UNCOMP,0.05669954723979943
0.3496,1.567,3,C0001616_SEG_UNCOMP,0.0895630997857849
0.4053,2.037,4,C0001616_SEG_UNCOMP,0.035234257569647084
0.3467,2.114,5,C0001616_SEG_UNCOMP,0.06562704229959451
0.381,1.88,6,C0001616_SEG_UNCOMP,0.08691238245224861
0.1111,2.154,1,C0001624_SEG_UNCOMP,0.18137718859327184
0.1771,2.081,2,C0001624_SEG_UNCOMP,0.16025208575534605
0.1907,1.887,3,C0001624_SEG_UNCOMP,0.27202893657231547
0.1619,1.964,4,C0001624_SEG_UNCOMP,0.19907218066514581
0.1537,2.04,5,C0001624_SEG_UNCOMP,0.31010161010400267
0.1882,1.94,6,C0001624_SEG_UNCOMP,0.2668454564708166
0.0693,1.982,1,C0001635_SEG_UNCOMP,0.22116885236012562
0.092,1.78,2,C0001635_SEG_UNCOMP,0.18918374853983852
0.0688,1.87,3,C0001635_SEG_UNCOMP,0.48427118501141025
0.0856,2.016,4,C0001635_SEG_UNCOMP,0.30675081598653575
0.0754,1.651,5,C0001635_SEG_UNCOMP,0.45587711535068
0.1464,1.83,6,C0001635_SEG_UNCOMP,0.27035973261492074
0.2264,1.827,1,C0001641_SEG_UNCOMP,0.07608270009696046
0.2929,2.0,2,C0001641_SEG_UNCOMP,0.0978081603467509
0.2782,1.882,3,C0001641_SEG_UNCOMP,0.06282243130840026
0.1973,1.834,4,C0001641_SEG_UNCOMP,0.1884101581148081
0.3298,2.128,5,C0001641_SEG_UNCOMP,0.1145936331049085
0.2286,2.023,6,C0001641_SEG_UNCOMP,0.20558768573801933
0.4411,1.401,1,C0001648_SEG_UNCOMP,0.3241380690591141
0.3124,1.628,2,C0001648_SEG_UNCOMP,0.0770296770156197
0.3269,1.531,3,C0001648_SEG_UNCOMP,0.14173599265604925
0.2971,1.797,4,C0001648_SEG_UNCOMP,0.05034005507051932
0.3041,2.004,5,C0001648_SEG_UNCOMP,0.1791001739771658
0.28,2.053,6,C0001648_SEG_UNCOMP,0.1404721900379389
0.2633,1.731,1,C0001653_SEG_UNCOMP,0.10743748028792299
0.2629,1.712,2,C0001653_SEG_UNCOMP,0.09814859049978583
0.3969,1.326,3,C0001653_SEG_UNCOMP,0.2729378072396307
0.3273,2.489,4,C0001653_SEG_UNCOMP,0.10248616489896864
0.2404,2.108,5,C0001653_SEG_UNCOMP,0.16455002656211146
0.2197,2.094,6,C0001653_SEG_UNCOMP,0.13512440497688688
0.3625,1.474,1,C0001657_SEG_UNCOMP,0.4617353302509428
0.3446,1.721,2,C0001657_SEG_UNCOMP,0.24236998307757568
0.4177,1.6,3,C0001657_SEG_UNCOMP,0.2284499911243532
0.1205,1.748,4,C0001657_SEG_UNCOMP,0.1543913987859101
0.2354,1.903,5,C0001657_SEG_UNCOMP,0.19025268754784805
0.2201,2.009,6,C0001657_SEG_UNCOMP,0.10870110470220218
0.2664,1.971,1,C0001662_SEG_UNCOMP,0.11497979748730527
0.1307,1.364,2,C0001662_SEG_UNCOMP,0.31148894475719474
0.2487,1.696,3,C0001662_SEG_UNCOMP,0.09820698814672008
0.28,2.006,4,C0001662_SEG_UNCOMP,0.03610164215238823
0.2946,2.185,5,C0001662_SEG_UNCOMP,0.08398087185126447
0.2826,2.078,6,C0001662_SEG_UNCOMP,0.04889449791330745
0.4553,1.939,1,C0001667_SEG_UNCOMP,0.20830608241431622
0.2054,1.936,2,C0001667_SEG_UNCOMP,0.2166766104679537
0.2397,1.509,3,C0001667_SEG_UNCOMP,0.3012048476260938
0.2912,1.925,4,C0001667_SEG_UNCOMP,0.05185195847656939
0.2586,1.858,5,C0001667_SEG_UNCOMP,0.14998851160962387
0.2937,1.948,6,C0001667_SEG_UNCOMP,0.11986229048047076
0.4927,1.511,1,C0001674_SEG_UNCOMP,0.30798304212540095
0.3539,1.837,2,C0001674_SEG_UNCOMP,0.13062167789957393
0.3144,1.709,3,C0001674_SEG_UNCOMP,0.08753219821913492
0.4148,1.637,4,C0001674_SEG_UNCOMP,0.0950683555235616
0.2987,1.755,5,C0001674_SEG_UNCOMP,0.0994834546117182
0.3517,1.876,6,C0001674_SEG_UNCOMP,0.10620333255626135
0.3372,1.864,1,C0001679_SEG_UNCOMP,0.12498535645990562
0.436,1.447,2,C0001679_SEG_UNCOMP,0.34537083518890227
0.3068,1.564,3,C0001679_SEG_UNCOMP,0.35514909961519026
0.1584,1.856,4,C0001679_SEG_UNCOMP,0.12862689692100898
0.1958,2.043,5,C0001679_SEG_UNCOMP,0.21151010572358256
0.3248,2.033,6,C0001679_SEG_UNCOMP,0.0895481819157311
0.391,1.589,1,C0001684_SEG_UNCOMP,0.26206641739801806
0.3224,1.902,2,C0001684_SEG_UNCOMP,0.08261658179843591
0.3054,1.635,3,C0001684_SEG_UNCOMP,0.19719603688307313
0.4185,1.613,4,C0001684_SEG_UNCOMP,0.10565693583509475
0.2872,1.447,5,C0001684_SEG_UNCOMP,0.16484183573499275
0.2327,1.918,6,C0001684_SEG_UNCOMP,0.07724948739738942
0.1146,1.541,1,C0001691_SEG_UNCOMP,0.2956937442659337
0.2048,1.64,2,C0001691_SEG_UNCOMP,0.19623608599579545
0.2176,1.8,3,C0001691_SEG_UNCOMP,0.22748145396620814
0.1984,2.278,4,C0001691_SEG_UNCOMP,0.14676034808195976
0.1444,1.935,5,C0001691_SEG_UNCOMP,0.14918341933577517
0.2976,2.344,6,C0001691_SEG_UNCOMP,0.06364782852069804
0.1322,1.629,1,C0001696_SEG_UNCOMP,0.21221198193132065
0.1454,1.619,2,C0001696_SEG_UNCOMP,0.3101195140203118
0.1457,1.845,3,C0001696_SEG_UNCOMP,0.21437579018157388
0.0859,1.787,4,C0001696_SEG_UNCOMP,0.31910384389861435
0.2147,2.079,5,C0001696_SEG_UNCOMP,0.18727396261790255
0.1888,1.906,6,C0001696_SEG_UNCOMP,0.18663979600655325
0.3468,2.033,1,C0001702_SEG_UNCOMP,0.09580357935439551
0.3558,1.883,2,C0001702_SEG_UNCOMP,0.087776285211811
