Sample,Octant,Rho,S11,S33,S13,S44,S66
2009_213,L,0.9662262859378056,22676.2,32082.2,13667.300000000001,6766.58,5224.47
2009_213,M,0.9422761277081617,21045.2,30559.4,12465.0,6350.240000000001,5038.0
2009_214,L,0.891944456406998,17011.3,25730.5,9953.43,4745.78,3610.73
2009_214,M,0.882613261816809,17214.8,26364.5,10685.2,5116.74,3524.24
2009_215,L,0.9383353482762677,20718.399999999998,28980.899999999998,12547.2,5971.099999999999,4821.25
2009_215,M,0.9357121607567849,20765.5,29844.3,12523.8,6096.71,4630.42
2009_222,L,0.9268829910712043,19151.7,29563.8,12050.800000000001,5759.179999999999,4234.54
2009_222,M,0.9384361605780495,19923.0,30600.8,12456.300000000001,6196.64,4346.37
2009_229,L,0.9005172673283436,18184.2,27203.800000000003,11405.2,5200.17,3895.7999999999997
2009_229,M,0.9082915136763647,18747.2,28044.5,11624.7,5500.8,4000.33
2009_230,L,0.9707918607764391,21831.2,31857.199999999997,13126.5,6516.6,5032.68
2009_230,M,0.9298406941956916,20192.399999999998,28914.6,12168.2,5957.55,4570.1
2009_232,L,0.9444800960374424,20395.9,29552.399999999998,11981.1,6012.330000000001,4420.82
2009_232,M,0.9605507688544744,20829.2,29860.5,12605.5,6267.179999999999,4817.99
2010_013,L,0.8951069631260999,18597.5,27369.0,11466.2,5336.63,4041.1000000000004
2010_013,M,0.9246850511244161,19977.899999999998,29549.2,12467.800000000001,6009.34,4427.1900000000005
2010_056,L,0.9284062271165343,20917.5,31013.899999999998,12265.800000000001,6343.3,4835.43
2010_056,M,0.9276061153840439,20925.7,30556.6,13114.1,6187.26,4563.25
2010_067,L,0.9736034043492217,21772.7,30588.0,12859.1,6356.72,4873.32
2010_067,M,0.949681408861975,21605.2,29451.6,12089.0,6347.92,4985.02
2010_121,L,0.81656660494128,14891.199999999999,23463.4,10080.4,4322.3099999999995,2906.16
2010_121,M,0.849823371498173,17233.1,25720.4,10534.599999999999,4885.84,3429.3
2010_206,L,0.9390589855277519,19683.800000000003,28878.2,11772.4,5855.65,4337.150000000001
2010_206,M,0.952910030438896,20964.7,29730.1,12839.2,6211.389999999999,4766.91
2010_211,L,0.9516445745867559,20155.0,30565.2,12064.0,6116.46,4565.08
2010_211,M,0.885120418822026,19463.6,28695.0,11807.4,5771.099999999999,4281.79
2010_234,L,0.847502354497536,14541.2,23066.3,10523.4,4216.53,2833.5699999999997
2010_234,M,0.854352199225545,16950.199999999997,24286.6,11396.4,4550.900000000001,3513.5499999999997
2010_239,L,0.6829971077312269,6857.99,15445.0,5661.44,2976.84,1498.04
2010_239,M,0.6693762039155109,7613.25,10116.199999999999,4972.01,3073.5299999999997,1757.68
2010_240,L,0.9204393065034123,18827.8,28532.9,11009.0,5542.27,4065.3300000000004
2010_240,M,0.835271814417831,17104.1,24542.2,11171.900000000001,4739.33,3400.5200000000004
2010_244,L,0.9714071471225727,21591.899999999998,31677.7,12586.5,6498.84,4965.950000000001
2010_244,M,0.9321546849207191,19980.399999999998,30386.199999999997,12518.3,6095.75,4375.02
2010_245,L,0.9582684791843671,19376.8,29930.3,10530.0,5839.509999999999,4142.86
2010_245,M,0.9148110517976584,19278.600000000002,28683.800000000003,11054.9,5642.69,4121.71
2010_246,L,0.9328710954709666,19913.699999999997,29822.8,12240.8,6064.03,4424.299999999999
2010_250,L,0.9796609280657277,20585.899999999998,31460.3,12428.800000000001,6156.64,4403.41
2010_250,M,0.9771663848087799,23842.9,31479.5,14120.2,6862.77,5900.04
2011_024,L,0.953148877693724,20106.3,30433.5,12067.6,6091.09,4471.45
2011_024,M,0.9428520141861038,19662.4,29974.0,11674.300000000001,6206.85,4468.09
2011_138,L,0.9242029828869842,19519.2,29098.199999999997,11912.4,5808.43,4384.83
2011_138,M,0.899556177536667,19003.0,28038.6,11821.0,5540.34,4069.0299999999997
2012_90,L,0.913431716057107,18857.5,28602.3,10948.3,5565.48,4034.99
2012_90,M,0.9173855370221811,20280.100000000002,29169.1,11958.4,5890.67,4570.74
2012_154,L,0.9647648656207888,18974.5,29818.899999999998,11090.6,5860.76,3983.12
2012_154,M,0.9407900571993504,20000.2,29091.5,11755.800000000001,6011.8,4561.849999999999
2012_161,L,0.9681360013623979,21981.6,29373.3,12946.199999999999,6199.0,5141.72
2012_161,M,0.9617021133488001,23420.7,30247.0,13391.400000000001,6667.469999999999,5628.46
2012_166,L,0.9146808756201751,19374.0,29903.600000000002,12243.1,5893.45,4241.83
2012_166,M,0.888501698927799,18700.9,28254.4,10228.5,5359.73,3936.6700000000005
2012_203,L,0.9184174966244131,18552.3,27480.2,11930.7,5490.75,4160.7300000000005
2012_203,M,0.9467618446888385,19943.2,29861.7,11691.1,5954.25,4380.46
2012_204,L,0.9484889212380485,19255.199999999997,27897.100000000002,11774.5,5599.83,4284.5599999999995
2012_204,M,0.9470095043993624,21542.0,28658.5,12675.3,6067.86,5183.860000000001
2015_138,L,0.929801443612456,20319.8,29154.0,12264.0,5833.93,4282.6
2015_138,M,0.9671749401010732,23317.1,30127.300000000003,13420.199999999999,6590.76,5244.43
