Sample,ROI,CV,Rho
2009_213_L,ROI_111,0.0361399144318209,0.8634206070535975
2009_213_L,ROI_112,0.06553380285811147,0.8488345858897385
2009_213_L,ROI_113,0.011923498224975255,0.9046224478843807
2009_213_L,ROI_114,0.008068867247340548,0.9087886308328204
2009_213_L,ROI_121,0.02918053527891906,0.8899991895438008
2009_213_L,ROI_122,0.012545414976195404,0.8854058742741489
2009_213_L,ROI_123,0.015559020159879446,0.8875941060120517
2009_213_L,ROI_124,0.01981815909798466,0.9003555055165782
2009_213_L,ROI_211,0.026240116353396487,0.9221129688324831
2009_213_L,ROI_212,0.018002712592527028,0.9279438726225705
2009_213_L,ROI_213,0.026532918822512144,0.9004496936694609
2009_213_L,ROI_214,0.01995755999074574,0.9149612404798777
2009_213_L,ROI_221,0.03383280024262941,0.8942814648667238
2009_213_L,ROI_222,0.015876819921894384,0.9185031531126994
2009_213_L,ROI_223,0.015923246651488882,0.9266405714373331
2009_213_L,ROI_224,0.014083942304862436,0.9258761141034711
2009_213_M,ROI_111,0.03657889543918224,0.903654281289633
2009_213_M,ROI_112,0.029410248696798164,0.8990565851756609
2009_213_M,ROI_113,0.03823122003497111,0.9133228047041506
2009_213_M,ROI_114,0.01565156604723187,0.9285046206955466
2009_213_M,ROI_121,0.05381273050665892,0.8805212328572086
2009_213_M,ROI_122,0.046451682794256134,0.8777766338906497
2009_213_M,ROI_123,0.06725632230850202,0.8500787456766543
2009_213_M,ROI_124,0.027339493084693352,0.8733585523938029
2009_213_M,ROI_211,0.00923830372824951,0.931299599371787
2009_213_M,ROI_212,0.021065183853863793,0.9214667942952646
2009_213_M,ROI_213,0.012617278340473822,0.9320487237505284
2009_213_M,ROI_214,0.02261899113526134,0.9323619541194175
2009_213_M,ROI_221,0.023435835207144005,0.914869242749155
2009_213_M,ROI_222,0.016745459037774288,0.9314354055457108
2009_213_M,ROI_223,0.017217060628449903,0.9196334109472919
2009_213_M,ROI_224,0.0167942419923033,0.9285571908273882
2009_214_L,ROI_111,0.04347624753285637,0.8826174668643888
2009_214_L,ROI_112,0.025462541147376512,0.8898502408369166
2009_214_L,ROI_113,0.03859235223042829,0.8687455233247103
2009_214_L,ROI_114,0.039393234842665215,0.8672253703456267
2009_214_L,ROI_121,0.030957352113867687,0.8894953924469863
2009_214_L,ROI_122,0.04931079976292933,0.8567179152438049
2009_214_L,ROI_123,0.0381279538524166,0.8604000148948707
2009_214_L,ROI_124,0.02150334390701455,0.8882183763276696
2009_214_L,ROI_211,0.059739081251363936,0.8491456258364675
2009_214_L,ROI_212,0.025678552896300423,0.8786111847336338
2009_214_L,ROI_213,0.03893915193085965,0.8805497083452893
