S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66,BV/TV,m1,m2,m3
9196.961174379667,3687.1131433477503,3819.7356789427804,3687.1131433477503,9833.569818739395,4003.0076903468052,3819.735678942779,4003.007690346806,10798.897312392075,6242.202399047943,6008.768896179818,5803.480091829178,0.8634,0.86405,0.89622,1.23973
8692.089277216135,3389.5339178189024,3577.341563227632,3389.5339178189042,9217.445834073767,3725.4730692774565,3577.3415632276306,3725.473069277455,10385.837049698705,5982.529817189676,5786.882332531675,5516.113868827774,0.8488,0.85153,0.91485,1.23361
10514.231410937962,4372.162965243057,4430.570269029816,4372.162965243058,11172.458195202043,4617.536980954374,4430.570269029811,4617.536980954371,11660.38041031762,6758.907717690337,6532.842454770759,6437.841526153525,0.9046,0.81481,0.94864,1.23655
10735.573468605875,4443.181854110783,4508.2927852150815,4443.181854110784,11169.24563205059,4636.246480122306,4508.292785215077,4636.24648012231,11712.227700402358,6764.248577091778,6618.25441275578,6522.115048825481,0.9088,0.87414,0.91568,1.21017
10183.034298631372,4111.3509202949535,4245.1504990830335,4111.350920294953,10455.518659183019,4322.5174383270605,4245.150499083036,4322.517438327055,11340.04684062822,6503.743543947068,6389.811333976483,6190.667165859744,0.89,0.81798,0.89905,1.28297
9942.9777386576,4015.2057948992633,4138.060037889658,4015.205794899264,10393.925625867627,4269.5449810062155,4138.060037889656,4269.5449810062155,11200.229129093916,6463.897079126607,6297.933136681884,6145.248167527428,0.8854,0.84365,0.90995,1.2464
9874.018402447864,4031.6173245445298,4137.982481363736,4031.6173245445284,10474.25862452705,4311.029001404732,4137.982481363736,4311.029001404731,11296.61917103885,6509.705229788845,6283.556561039289,6143.924611673817,0.8876,0.84695,0.91523,1.23782
10392.56141522948,4283.465051786773,4367.706217418086,4283.465051786775,10894.643347921805,4509.107077267345,4367.706217418083,4509.1070772673465,11553.53315074338,6659.344550096083,6497.073265354571,6369.061661837733,0.9004,0.83939,0.92024,1.24037
10545.049138639168,4412.916498145286,4474.343782689765,4412.916498145286,11411.443133102206,4714.028557982803,4474.343782689764,4714.0285579828,11862.426819976323,6900.364713350447,6614.732060727496,6526.66353714072,0.9221,0.81658,0.91863,1.26478
11017.489608342541,4602.084647718213,4674.4890866241685,4602.084647718216,11531.499247014926,4815.948975203029,4674.489086624168,4815.94897520303,12084.006370023339,6950.056420394076,6790.105514845879,6679.237689517105,0.9279,0.82898,0.90078,1.27024
9922.108324636294,4010.4655109185114,4146.138442490634,4010.4655109185114,10373.194661102623,4280.986239055364,4146.138442490633,4280.986239055362,11343.262493139999,6506.324583873477,6352.080043205184,6131.451743173284,0.9004,0.82911,0.88685,1.28404
10720.192787710188,4379.082813236177,4509.678109894998,4379.082813236177,10964.632943586703,4570.7925134859315,4509.678109894998,4570.792513485931,11780.573404786433,6734.021987301817,6652.225255178254,6448.157380821024,0.915,0.83535,0.87223,1.29241
9954.534105458903,4050.777954321386,4167.814529115941,4050.777954321385,10407.179187797969,4286.486053243276,4167.814529115942,4286.486053243275,11283.191523380689,6504.328829770007,6345.965357777558,6196.0789904155545,0.8943,0.83827,0.91141,1.25031
10661.820204477377,4411.893655542446,4505.090354470604,4411.89365554245,11210.265793329354,4653.8198456117125,4505.0903544706025,4653.8198456117125,11845.153276393174,6818.627779715639,6643.036077989515,6512.8979921229175,0.9185,0.83024,0.89706,1.27269
10849.259730142006,4547.929134683766,4604.033298435308,4547.9291346837645,11566.05970871951,4799.667624668877,4604.033298435309,4799.6676246688785,11982.252542627877,6948.027217738751,6726.786920049006,6626.546977039918,0.9266,0.83992,0.92601,1.23407
10722.029015821705,4501.131662619029,4558.646960076701,4501.131662619029,11601.668325206878,4804.698251339734,4558.646960076703,4804.698251339733,12011.207635268796,6969.594028899884,6667.2834445984545,6572.363802201462,0.9259,0.81456,0.94262,1.24281
10808.403175729434,4364.418223859667,4522.220308111196,4364.418223859671,10876.617746404889,4541.489753529386,4522.220308111194,4541.489753529385,11701.59351972367,6670.8912778073,6650.889356077336,6431.026928816264,0.9037,0.83803,0.88206,1.27991
10580.657001040287,4280.493607591331,4426.239201537361,4280.4936075913265,10749.045302302302,4479.101073516497,4426.2392015373625,4479.1010735165,11567.575936557621,6632.447910782867,6569.060883871769,6394.476593029758,0.8991,0.83497,0.89347,1.27156
11123.831132871872,4559.845480632267,4676.31405517117,4559.845480632269,11269.635494208072,4715.5735765036925,4676.314055171172,4715.573576503695,11888.533344375443,6825.174596607493,6776.063315234847,6668.296029366687,0.9133,0.82274,0.89718,1.28008
11609.164468234183,4818.592346918495,4911.584928058006,4818.592346918493,11729.413899808107,4947.064618601365,4911.584928058008,4947.0646186013655,12249.943900716795,7003.24167027903,6964.003113260981,6826.063891119482,0.9285,0.8708,0.88084,1.24836
9779.963862555825,3887.7986771710443,4073.909729412998,3887.7986771710434,10076.575329516254,4159.057582519277,4073.9097294129965,4159.057582519277,11173.144046075151,6368.9930908742635,6294.799327781006,6057.748374363646,0.8805,0.85367,0.89455,1.25178
9652.323078103385,3878.0183087237947,4030.421220699329,3878.018308723796,9963.16240965523,4118.418039089029,4030.421220699329,4118.418039089028,11112.66639613176,6335.793184908815,6206.112482770797,6013.16526654846,0.8778,0.83196,0.87684,1.2912
9117.886321660017,3553.641753955564,3741.1684707930062,3553.6417539555655,9226.974347193604,3766.0406779238674,3741.1684707930067,3766.040677923868,10478.820911678547,5975.388166804605,5944.483241827078,5681.763956177106,0.8501,0.8429,0.86196,1.29514
9255.73417204814,3697.827063706882,3861.1619104295232,3697.8270637068804,9847.298390650092,4025.26673870787,3861.1619104295246,4025.2667387078704,10946.20650763639,6280.44186498836,6105.651033632952,5876.152550388422,0.8734,0.8169,0.89624,1.28686
11015.196587380664,4585.688703840375,4683.006162588982,4585.688703840375,11527.51187722579,4821.368871334641,4683.006162588986,4821.368871334642,12169.568458747228,6980.331995978078,6809.406249673173,6693.263038790633,0.9313,0.7985,0.93762,1.26388
10214.528389838075,4260.826442361542,4342.616684164228,4260.82644236154,11269.872051695645,4640.188278417454,4342.6166841642325,4640.188278417453,11871.783517503041,6878.010866922061,6542.048877630439,6410.303990345227,0.9215,0.76491,0.95031,1.28478
11168.020971579486,4532.243661792943,4716.621211947384,4532.2436617929425,11248.879596213646,4731.843176646103,4716.621211947388,4731.843176646103,12174.254466442157,6898.293182274983,6871.532243758177,6638.890404215539,0.932,0.77691,0.95448,1.26861
11231.77222925254,4602.407037965703,4754.096921081178,4602.407037965702,11455.49920418815,4808.6759888538645,4754.0969210811745,4808.675988853863,12195.534009945171,6950.116417727228,6888.516474850198,6690.121057629042,0.9324,0.81124,0.93956,1.24919
10498.557846331389,4305.613244671707,4429.196932389397,4305.613244671707,11013.063198705553,4570.905459253288,4429.196932389393,4570.905459253284,11778.801144594816,6773.247968894339,6599.135033249823,6444.698856066605,0.9149,0.85469,0.89975,1.24556
11172.053771252957,4639.508100419543,4744.415461106958,4639.508100419544,11546.579408465936,4840.768302240456,4744.415461106954,4840.768302240458,12192.925188674604,6974.022787903683,6868.613394790549,6717.137202585193,0.9314,0.81401,0.91528,1.27071
10849.095344354191,4429.546093824508,4580.018362243431,4429.546093824505,11000.516743953303,4616.120767149156,4580.018362243437,4616.120767149155,11926.976229550732,6775.011653713696,6724.121367390742,6528.932044832454,0.9196,0.82049,0.89756,1.28195
11131.393769292821,4584.34714335794,4717.094080284765,4584.34714335794,11372.448251312398,4778.303300959146,4717.094080284768,4778.3033009591445,12127.996566139856,6919.360725681788,6838.000081624971,6659.376477067428,0.9286,0.83135,0.89396,1.27469
9727.61269847573,3999.1013975371543,4093.9539085270408,3999.1013975371557,10601.68375690526,4352.038712000362,4093.953908527042,4352.038712000361,11303.780162187304,6550.400507747149,6267.997954090648,6129.773867766239,0.8826,0.82334,0.92081,1.25586
10086.650874540615,4104.524188176756,4231.244206708829,4104.524188176755,10564.562352747256,4369.198198405554,4231.244206708828,4369.198198405553,11414.17007613034,6551.066434459037,6377.373665042253,6185.257883690153,0.8899,0.83344,0.89596,1.27061
9504.644724775448,3840.877356491776,3958.0511363480978,3840.8773564917756,10063.472168803806,4120.014257800307,3958.0511363480973,4120.014257800306,10954.576239378734,6324.65718075717,6140.786916467144,5953.769411051087,0.8687,0.82186,0.92994,1.24819
9226.67069595265,3688.7218443699658,3848.3086485792883,3688.7218443699635,9733.762827759863,3997.4596227067595,3848.30864857929,3997.459622706761,10928.647960931123,6243.737512733242,6032.892774875996,5732.134209469698,0.8672,0.81913,0.90006,1.28081
10134.46555648067,4138.147318784659,4246.060978740082,4138.147318784659,10542.487179209995,4368.452748444689,4246.060978740086,4368.45274844469,11383.75582207256,6536.73125972471,6396.245047919396,6215.335898674293,0.8895,0.84679,0.88947,1.26374
9080.077200372587,3579.4722210844084,3764.2992808800163,3579.472221084408,9431.260240253832,3868.237130079362,3764.2992808800163,3868.2371300793625,10706.175166354707,6086.921486957068,5967.235670953169,5676.650276753253,0.8567,0.80607,0.90282,1.29111
8823.626100896778,3586.05923373192,3689.218550214379,3586.0592337319194,9794.416998101628,3967.9684574899948,3689.2185502143784,3967.9684574899948,10736.125205451612,6232.371256536584,5889.024762486006,5738.30141268883,0.8604,0.79963,0.89906,1.30131
9829.806613010596,4008.59354435823,4123.542916872906,4008.593544358228,10497.68402915422,4312.8457976905065,4123.542916872904,4312.84579769051,11294.010699986775,6514.488548554295,6302.3535825251465,6141.294520632486,0.8882,0.82544,0.90826,1.2663
8527.615960426363,3310.6635987306454,3520.3554996667563,3310.6635987306463,8912.091794399346,3624.934213174118,3520.355499666761,3624.934213174118,10418.913107351513,5906.348471206461,5781.70885224176,5449.4314272730635,0.8491,0.83223,0.8923,1.27547
9618.50931593518,3758.0565222669047,3990.4757404046645,3758.0565222669043,9726.815761375577,4011.1973456144183,3990.4757404046645,4011.197345614417,11020.575144927778,6219.6275123366095,6196.077466237697,5808.506979880969,0.8786,0.84865,0.90506,1.24629
9505.18617691424,3761.055093875332,3948.993673013029,3761.055093875331,9882.603681666285,4052.5495569570785,3948.9936730130285,4052.5495569570794,11012.572472671587,6286.179743109671,6163.738574573594,5865.064830088848,0.8805,0.81481,0.89541,1.28978
9951.387763319528,3874.751100726628,4128.638696170619,3874.751100726628,9875.439561821111,4101.399397821466,4128.63869617062,4101.399397821467,11222.582292436195,6328.067318700045,6371.267204198035,6002.517200041124,0.8904,0.81793,0.90789,1.27419
10228.326152397969,4070.421003408409,4275.0836673265685,4070.421003408409,10224.537406720436,4276.270387222213,4275.083667326567,4276.270387222211,11451.044830522238,6477.636048583115,6471.913685563361,6194.418054406561,0.8966,0.84899,0.87988,1.27112
8896.697489886094,3353.706488907226,3653.171879461171,3353.706488907226,8944.47052474966,3673.9741460476266,3653.1718794611716,3673.9741460476253,10666.381987386772,5995.469354085921,5970.516058726693,5583.028100276126,0.8624,0.84611,0.8773,1.27659
8791.382192658573,3318.188853600453,3600.3413503538113,3318.188853600456,8867.411324475808,3622.3861708217405,3600.341350353808,3622.3861708217405,10451.12194527974,5878.123092972656,5826.634671588102,5379.017482324097,0.8488,0.81757,0.86363,1.31879
9644.879123551893,3803.6316008277527,4017.202484849812,3803.6316008277536,9805.58491879627,4045.3639964949375,4017.202484849808,4045.3639964949366,11092.19539551105,6262.328427391421,6245.036831438204,5897.816556906991,0.8789,0.79857,0.87498,1.32644
10480.35920758285,4276.979903317959,4404.629093474146,4276.979903317956,10846.374952807697,4507.912983966831,4404.629093474143,4507.9129839668285,11657.779105038673,6678.444254491871,6554.109727590124,6384.471806575797,0.9018,0.82963,0.88696,1.28341
9168.134119652545,3430.596293297924,3726.6332930622634,3430.5962932979264,8798.506271026707,3628.2727574426413,3726.6332930622625,3628.272757442641,10396.303902141144,5859.845919620568,5951.282542376906,5567.0093537134635,0.8424,0.85139,0.89769,1.25092
10085.081705519615,3873.399491200079,4152.423681931516,3873.3994912000794,9725.246762784658,4046.451994616963,4152.423681931513,4046.451994616963,11131.070810077557,6240.605387720765,6353.619202507674,6007.175817491831,0.8766,0.85744,0.86657,1.27599
9543.649660488862,3741.053170078683,3961.1612994903853,3741.0531700786864,9634.441976817765,3984.1585497516803,3961.161299490384,3984.158549751681,10973.841351454777,6211.203333650246,6166.6864728113205,5867.727158903193,0.8695,0.82404,0.89619,1.27977
8277.350023612918,3215.140322064194,3420.8144789355497,3215.1403220641932,8588.965366623894,3506.9691516649996,3420.8144789355497,3506.9691516650023,10226.16048582609,5752.472211964369,5639.368017537141,5419.863367406372,0.8287,0.8112,0.8703,1.31851
8330.138924799689,3330.818197070578,3470.5896213443284,3330.818197070578,9333.63528540289,3758.9823515569833,3470.5896213443293,3758.982351556985,10468.2966522319,6029.388288205715,5750.790406567794,5513.108745951105,0.8468,0.8251,0.8965,1.27839
9578.58739393615,3646.144345112128,3932.327371592283,3646.1443451121254,9394.011823309886,3877.0202932151647,3932.32737159228,3877.020293215165,10939.931999472936,6159.297759588924,6193.791911480124,5848.899181026,0.8742,0.87194,0.8896,1.23846
10032.560335775215,3964.0138940956444,4169.140215775013,3964.0138940956444,10115.24106255655,4196.008262308696,4169.140215775011,4196.008262308699,11292.92919259992,6402.504307224234,6372.800712827499,6099.9555611006635,0.8859,0.86609,0.87937,1.25453
8364.452565530886,2998.948507709835,3388.1076538531474,2998.9485077098325,7954.227792238572,3279.7379749482047,3388.107653853149,3279.7379749482075,10136.593900096823,5590.211415184564,5716.740607463101,5164.1834767781,0.8336,0.84392,0.8581,1.29798
8211.147148216938,3123.6827338041257,3374.2838721809694,3123.6827338041276,8550.595474471967,3476.501790470864,3374.283872180969,3476.501790470864,10140.252236785876,5745.283512257618,5584.291075679001,5231.435199254104,0.8257,0.8176,0.86352,1.31887
8020.905118766351,3016.196659073626,3289.8551578202973,3016.1966590736247,8412.617274767414,3404.8652457698217,3289.8551578202955,3404.865245769819,10054.741859453388,5683.649836542338,5532.095404934182,5146.993009484016,0.8264,0.80916,0.91405,1.27679
8676.849596674552,3510.026102497931,3643.490480888579,3510.026102497928,9798.509316142208,3965.371101029902,3643.4904808885767,3965.3711010299,10803.809331029057,6269.64731841803,5868.40451378789,5675.537593882341,0.8668,0.79527,0.90541,1.29932
7906.388380229542,3068.653524673512,3281.3011515518037,3068.653524673513,9001.504534657495,3601.501111404687,3281.301151551802,3601.501111404685,10434.358126035895,5998.422458234695,5606.397424828908,5278.072749436323,0.8532,0.77663,0.91277,1.31061
7772.345796021429,2916.2571506078957,3190.4527539449127,2916.2571506078943,8280.123771512503,3334.6087306487225,3190.4527539449123,3334.608730648722,10032.019761808322,5651.051465709349,5471.246076008265,5090.931588731054,0.8268,0.82574,0.88169,1.29257
8173.757598134503,3183.877289787983,3398.1343117967617,3183.8772897879844,8964.95649879298,3613.2057060188104,3398.1343117967594,3613.20570601881,10374.40678144528,5939.008948733027,5678.7696900905885,5386.3196827273,0.8475,0.81815,0.91562,1.26622
7156.099956006192,2811.3100386628016,2991.267710074573,2811.310038662801,8575.985483223209,3377.862973328348,2991.267710074573,3377.8629733283497,9831.299714728599,5727.232471177374,5169.421821725734,4947.414191730531,0.8119,0.79285,0.95052,1.25664
9054.945307406799,3600.5703120207586,3771.474230090466,3600.5703120207586,9709.615053769474,3960.1314929214163,3771.474230090465,3960.131492921415,10841.280151519604,6215.852376239923,5990.921802213614,5724.626872467547,0.8656,0.82743,0.89131,1.28126
10301.740419949532,4183.296489263593,4301.480247056529,4183.29648926359,10678.846254485024,4406.177447165992,4301.480247056524,4406.17744716599,11384.168806105808,6564.91038658114,6444.579214727417,6275.300514848206,0.8933,0.85925,0.89712,1.24362
