S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66,BV/TV,m1,m2,m3
15069.944447303751,7135.507878691633,8833.794923411224,7135.507878691635,16216.34266112514,9277.154522789016,8833.794923411226,9277.154522789011,24977.886628812877,10777.672106526514,10328.46674151387,8469.397489956824,0.8634,0.86405,0.89622,1.23973
14241.26070155281,6522.495395163973,8208.697039551336,6522.495395163977,15120.42188722483,8542.326702688224,8208.697039551336,8542.326702688224,23788.938954291687,10325.068076354155,9979.517857093786,8088.069262966874,0.8488,0.85153,0.91485,1.23361
17433.938480407545,8622.274057656172,10410.249381791304,8622.274057656168,18627.131643703076,10871.774209389927,10410.249381791302,10871.77420938993,27292.81233698994,11648.334005038212,11213.906360641562,9356.046407391197,0.9046,0.81481,0.94864,1.23655
17844.591212626954,8771.461225016035,10613.807799703201,8771.461225016044,18609.370305541273,10919.25924238262,10613.80779970319,10919.259242382619,27449.369848202223,11643.389081854395,11376.127919823713,9472.883552638441,0.9088,0.87414,0.91568,1.21017
16791.28687909115,8024.302848419284,9912.075252480647,8024.302848419287,17311.952145698844,10112.815241478795,9912.075252480636,10112.815241478791,26476.973518134917,11208.946754216533,10985.990742898792,9000.929402969721,0.89,0.81798,0.89905,1.28297
16382.216832902473,7846.613003704461,9624.54830531122,7846.613003704466,17247.50754717891,9967.337115914741,9624.548305311222,9967.337115914735,26008.308043050056,11156.98913099819,10813.669412853333,8957.467163159448,0.8854,0.84365,0.90995,1.2464
16244.452535507326,7842.56481437784,9644.045136643708,7842.564814377839,17305.617346970015,10063.09442398753,9644.045136643712,10063.094423987535,26359.216056105193,11223.61767998267,10800.929249983106,8932.951681451426,0.8876,0.84695,0.91523,1.23782
17178.115425945583,8408.350335674104,10231.223978441201,8408.350335674098,18129.254639015642,10595.351398320548,10231.223978441198,10595.351398320541,27028.498568936735,11486.739397431988,11152.314038349052,9254.69022296135,0.9004,0.83939,0.92024,1.24037
17674.382639805484,8745.675552660103,10571.66189237743,8745.675552660105,18923.24050590893,11051.855321685667,10571.661892377428,11051.85532168566,27709.31582953686,11820.861877163623,11436.67423245615,9498.203822337091,0.9221,0.81658,0.91863,1.26478
18372.419300508624,9129.360932950984,11054.490098487353,9129.360932950982,19266.203895912313,11390.768481822095,11054.490098487353,11390.768481822091,28394.202362609965,11957.523709381592,11669.697025634216,9697.299584738026,0.9279,0.82898,0.90078,1.27024
16399.144441705903,7804.59700074757,9655.483679635832,7804.597000747571,17099.641662903185,9939.96131700407,9655.483679635834,9939.961317004067,26332.9894495686,11192.415835330552,10948.606547012458,8932.971155944237,0.9004,0.82911,0.88685,1.28404
17741.531956510877,8616.827600187517,10583.437223231413,8616.82760018752,18276.673263094563,10771.194448546225,10583.437223231414,10771.194448546234,27604.51481418647,11617.800401682598,11413.68185702764,9368.27248355025,0.915,0.83535,0.87223,1.29241
16394.952938109724,7879.427998169189,9707.501069545504,7879.427998169189,17193.530708657283,9997.667385781397,9707.501069545506,9997.667385781388,26308.1057928075,11216.02342649111,10914.807226339877,9004.821002656374,0.8943,0.83827,0.91141,1.25031
17678.294111987725,8703.504329346852,10592.592345761746,8703.504329346857,18684.577183593636,10966.492864151392,10592.592345761761,10966.492864151392,27764.110904778372,11752.158500282747,11405.487695091626,9458.564970106108,0.9185,0.83024,0.89706,1.27269
18023.664230820665,9012.660886622432,10850.549069418414,9012.660886622429,19350.01373756422,11344.712529282102,10850.54906941841,11344.712529282102,28124.045483805392,11980.324330264453,11541.798885506603,9619.82822383718,0.9266,0.83992,0.92601,1.23407
17795.942915288513,8937.256112831914,10724.512511777277,8937.25611283191,19475.59551128038,11361.757927611334,10724.512511777277,11361.757927611334,28093.460278436043,12032.278473015438,11421.656581916259,9565.542075556894,0.9259,0.81456,0.94262,1.24281
18098.9024287079,8661.268948678724,10660.502018512976,8661.268948678726,18129.794332955167,10672.829008193208,10660.502018512972,10672.82900819322,27227.021681159255,11447.753766989088,11454.991434264244,9387.17718971201,0.9037,0.83803,0.88206,1.27991
18015.709883986332,8549.090437778,10453.110346622434,8549.090437777999,17874.728982195065,10424.036925325585,10453.11034662243,10424.036925325585,26512.66169326689,11296.903157476954,11395.155633737304,9412.04557007069,0.8991,0.83497,0.89347,1.27156
18917.102304550095,9129.513064987961,11123.752256800004,9129.513064987965,18734.673711516523,11066.5797563491,11123.752256800002,11066.579756349105,27630.134640708322,11628.140129966127,11744.129868244103,9740.822467258538,0.9133,0.82274,0.89718,1.28008
